Combo,Weight,EV
Th4s3d2s,2.0592926390804058E-16,-53999.999999999476
KdTh4s2s,1.1857923120881745E-16,-53999.99999999931
Th4s3c2s,2.0592926390804058E-16,-53999.999999999476
KcTh4s2s,1.1857923120881745E-16,-53999.99999999931
AhJh4s2s,1.563731982603895E-16,-54000.00000000003
Jh4s3d2s,7.012817339056943E-17,-54000.000000000466
Jh7d4s2s,2.5354420711728355E-16,-54000.00000000069
AdJh4s2s,2.3004237738148405E-16,-53999.999999999745
Jh4s3c2s,7.012817339056943E-17,-54000.000000000466
Jh7c4s2s,2.5354420711728355E-16,-54000.00000000069
AcJh4s2s,2.3004237738148405E-16,-53999.999999999745
KhQh4s2s,2.494600525607752E-15,-53999.999999999774
AdQh4s2s,1.1575286060272233E-16,-53999.99999999924
AcQh4s2s,1.1575286060272233E-16,-53999.99999999924
KhTd4s2s,1.1857923120881745E-16,-53999.99999999931
KdKh4s2s,4.738958370099768E-17,-53999.999999999505
KhTc4s2s,1.1857923120881745E-16,-53999.99999999931
KcKh4s2s,4.738958370099768E-17,-53999.999999999505
Ah4s2d2s,1.1652918997683107E-16,-53999.999999999905
Ah4s3d2s,5.251034081723906E-17,-53999.99999999997
AhJd4s2s,2.3004237738148405E-16,-53999.999999999745
AhQd4s2s,1.1575286060272233E-16,-53999.99999999924
Ah4s2c2s,1.1652918997683107E-16,-53999.999999999905
Ah4s3c2s,5.251034081723906E-17,-53999.99999999997
AhJc4s2s,2.3004237738148405E-16,-53999.999999999745
AhQc4s2s,1.1575286060272233E-16,-53999.99999999924
6d4s2d2s,1.1144737588718337E-16,-54000.00000000016
9c4s2d2s,1.3596994034969743E-16,-54000.0000000001
Ac4s2d2s,1.1652918997683107E-16,-53999.999999999905
4s3c3d2s,4.774787908744685E-15,-53999.99999999998
Tc4s3d2s,2.0592926390804058E-16,-53999.999999999476
Jc4s3d2s,7.012817339056943E-17,-54000.000000000466
Ac4s3d2s,5.251034081723906E-17,-53999.99999999997
Jd4d4s2s,1.1347041207313896E-15,-54000.00000000011
Ad4d4s2s,1.0918663747704873E-16,-54000.00000000038
7c4d4s2s,5.4285705270029916E-17,-53999.99999999954
6d5d4s2s,1.5939954141769957E-16,-54000.00000000008
9d7d4s2s,4.604991716891277E-16,-53999.999999999614
Ad7d4s2s,1.7339351759805926E-15,-54000.00000000013
7d4c4s2s,5.4285705270029916E-17,-53999.99999999954
7c7d4s2s,1.1360116276194746E-15,-53999.9999999995
Jc7d4s2s,2.5354420711728355E-16,-54000.00000000069
9d4s2c2s,1.3596994034969743E-16,-54000.0000000001
Td4s3c2s,2.0592926390804058E-16,-53999.999999999476
KcTd4s2s,1.1857923120881745E-16,-53999.99999999931
AdJd4s2s,1.563731982603895E-16,-54000.00000000003
Jd4s3c2s,7.012817339056943E-17,-54000.000000000466
Jd7c4s2s,2.5354420711728355E-16,-54000.00000000069
